"BATEMAN, J. F.",,,,,
BATHURST,,,,,
"BATLLE Y ORDONEZ, JOSE P.T",,,,,
BAUNESS,,,,,
"BAUZA, FRANCISCO",,,,,
"BAVIO, ERNESTO A.",,,,,
BAZURCO,,,,,
BEAUCHEF,,,,,
BEAZLEY,,,,,
"BECHER, EMILIO",,,,,
"BEDOYA, ELIAS",,,,,
BEETHOVEN,,,,,
BEHRING,,,,,
"BEIRO, FRANCISCO",,,,,
"BELAUSTEGUI, LUIS, Dr.",,,,,
BELEN,,,,,
BELFAST,,,,,
BELGICA,,,,,
BELGRADO,,,,,
BELGRANO,,,,,
BELL VILLE,,,,,
BELLA VISTA,,,,,
"BELLO, ANDRES",,,,,
"BENEDETTI, OSVALDO E., Dip.Nac.",,,,,
"BENIELLI, CARLOS J.",,,,,
"BERG, CARLOS",,,,,
BERGANTIN CONGRESO NACIONAL,,,,,
BERGANTIN ECHAGUE,,,,,
BERGANTIN GENERAL BALCARCE,,,,,
BERGANTIN GENERAL BELGRANO,,,,,
BERGANTIN GOLETA ESPORA,,,,,
BERGANTIN NANCY,,,,,
BERGANTIN VIGILANTE,,,,,
BERLIN,,,,,
BERMEJO,,,,,
"BERMEJO, ANTONIO Dr.",,,,,
BERMUDEZ,,,,,
"BERMUDEZ, ANTONIO",,,,,
"BERMUDEZ, JORGE",,,,,
BERNA,,,,,
BERNAL,,,,,
BERNALDES,,,,,
"BERNARDI, Conscripto",,,,,
BERON DE ASTRADA,,,,,
"BERRO, ADOLFO",,,,,
BERTHELOT,,,,,
BERTRES,,,,,
BERUTI,,,,,
"BERUTI, ARTURO",,,,,
BESARES,,,,,
"BETBEDER, ONOFRE, Alte.",,,,,
BETHLEM,,,,,
BEYROUTH,,,,,
BIALET MASSE,,,,,
"BIANCHI, ANDRES",,,,,
BIARRITZ,,,,,
"BIBILONI, JUAN A.",,,,,
"BIDEGAIN, PEDRO",,,,,
"BIEDMA, JOSE JUAN",,,,,
"BIELSA, RAFAEL, Dr.",,,,,
"BILBAO, FRANCISCO",,,,,
BILLINGHURST,,,,,
BLANCO ENCALADA,,,,,
BLANDENGUES,,,,,
"BLANES, JUAN MANUEL",,,,,
"BOCAYUVA, QUINTINO",,,,,
BOEDO,,,,,
"BOERI, JUAN A.",,,,,
BOGADO,,,,,
BOGOTA,,,,,
